Time(s),CH1(V),CH2(V)
-0.040938,0.028894,0.717947
-0.040931,0.028894,0.717947
-0.040924,0.028894,0.717947
-0.040918,0.028894,0.717947
-0.040911,0.028894,0.717947
-0.040905,0.028894,0.717947
-0.040898,0.028894,0.717947
-0.040892,0.028894,0.717947
-0.040885,0.028894,0.717947
-0.040879,0.028894,0.717947
-0.040872,0.028894,0.717947
-0.040866,0.028894,0.717947
-0.040859,0.028894,0.717947
-0.040853,0.028894,0.717947
-0.040846,0.028894,0.717947
-0.040840,0.028894,0.717947
-0.040833,0.028894,0.717947
-0.040827,0.028894,0.717947
-0.040820,0.028894,0.717947
-0.040814,0.028894,0.717947
-0.040807,0.028894,0.717947
-0.040801,0.028894,0.717947
-0.040794,0.028894,0.717947
-0.040788,0.028894,0.717947
-0.040781,0.028894,0.717947
-0.040775,0.028894,0.717947
-0.040768,0.028894,0.717947
-0.040762,0.028894,0.717947
-0.040755,0.028894,0.717947
-0.040749,0.028894,0.717947
-0.040742,0.028894,0.717947
-0.040736,0.028894,0.717947
-0.040729,0.028894,0.717947
-0.040723,0.028894,0.717947
-0.040716,0.028894,0.717947
-0.040710,0.028894,0.717947
-0.040703,0.028894,0.717947
-0.040697,0.028894,0.717947
-0.040690,0.028894,0.717947
-0.040684,0.028894,0.717947
-0.040677,0.028894,0.717947
-0.040671,0.028894,0.717947
-0.040664,0.028894,0.717947
-0.040658,0.028894,0.717947
-0.040651,0.028894,0.717947
-0.040645,0.028894,0.717947
-0.040638,0.028894,0.717947
-0.040632,0.028894,0.717947
-0.040625,0.028894,0.717947
-0.040618,0.028894,0.717947
-0.040612,0.028894,0.717947
-0.040605,0.028894,0.717947
-0.040599,0.028894,0.717947
-0.040592,0.028894,0.717947
-0.040586,0.028894,0.717947
-0.040579,0.028894,0.717947
-0.040573,0.028894,0.717947
-0.040566,0.028894,0.717947
-0.040560,0.028894,0.717947
-0.040553,0.028894,0.717947
-0.040547,0.028894,0.717947
-0.040540,0.028894,0.717947
-0.040534,0.028894,0.717947
-0.040527,0.028894,0.717947
-0.040521,0.028894,0.717947
-0.040514,0.028894,0.717947
-0.040508,0.028894,0.717947
-0.040501,0.028894,0.717947
-0.040495,0.028894,0.717947
-0.040488,0.028894,0.717947
-0.040482,0.028894,0.717947
-0.040475,0.028894,0.717947
-0.040469,0.028894,0.717947
-0.040462,0.028894,0.717947
-0.040456,0.028894,0.717947
-0.040449,0.028894,0.717947
-0.040443,0.028894,0.717947
-0.040436,0.028894,0.717947
-0.040430,0.028894,0.717947
-0.040423,0.028894,0.717947
-0.040417,0.028894,0.717947
-0.040410,0.028894,0.717947
-0.040404,0.028894,0.717947
-0.040397,0.028894,0.717947
-0.040391,0.028894,0.717947
-0.040384,0.028894,0.717947
-0.040378,0.028894,0.717947
-0.040371,0.028894,0.717947
-0.040365,0.028894,0.717947
-0.040358,0.028894,0.717947
-0.040352,0.028894,0.717947
-0.040345,0.028894,0.717947
-0.040339,0.028894,0.717947
-0.040332,0.028894,0.717947
-0.040326,0.028894,0.717947
-0.040319,0.028894,0.717947
-0.040313,0.028894,0.717947
-0.040306,0.028894,0.717947
-0.040299,0.028894,0.717947
-0.040293,0.028894,0.717947
-0.040286,0.028894,0.717947
-0.040280,0.028894,0.717947
-0.040273,0.028894,0.717947
-0.040267,0.028894,0.717947
-0.040260,0.028894,0.717947
-0.040254,0.028894,0.717947
-0.040247,0.028894,0.717947
-0.040241,0.028894,0.717947
-0.040234,0.028894,0.717947
-0.040228,0.028894,0.717947
