Time(s),CH1(V),CH2(V)
-0.039648,4.532871,0.473197
-0.039642,4.532871,0.473197
-0.039635,4.532871,0.473197
-0.039629,4.532871,0.473197
-0.039622,4.532871,0.473197
-0.039616,4.532871,0.473197
-0.039609,4.532871,0.473197
-0.039603,4.532871,0.473197
-0.039596,4.532871,0.473197
-0.039590,4.532871,0.473197
-0.039583,4.532871,0.473197
-0.039577,4.532871,0.473197
-0.039570,4.532871,0.473197
-0.039564,4.532871,0.473197
-0.039557,4.532871,0.473197
-0.039551,4.532871,0.473197
-0.039544,4.532871,0.473197
-0.039538,4.532871,0.473197
-0.039531,4.532871,0.473197
-0.039525,4.532871,0.473197
-0.039518,4.532871,0.473197
-0.039512,4.532871,0.473197
-0.039505,4.532871,0.473197
-0.039499,4.532871,0.473197
-0.039492,4.532871,0.473197
-0.039486,4.532871,0.473197
-0.039479,4.532871,0.473197
-0.039473,4.532871,0.473197
-0.039466,4.532871,0.473197
-0.039460,4.532871,0.473197
-0.039453,4.532871,0.473197
-0.039447,4.532871,0.473197
-0.039440,4.532871,0.473197
-0.039434,4.532871,0.473197
-0.039427,4.532871,0.473197
-0.039421,4.532871,0.473197
-0.039414,4.532871,0.473197
-0.039408,4.532871,0.473197
-0.039401,4.532871,0.473197
-0.039395,4.532871,0.473197
-0.039388,4.532871,0.473197
-0.039382,4.532871,0.473197
-0.039375,4.532871,0.473197
-0.039368,4.532871,0.473197
-0.039362,4.532871,0.473197
-0.039355,4.532871,0.473197
-0.039349,4.532871,0.473197
-0.039342,4.532871,0.473197
-0.039336,4.532871,0.473197
-0.039329,4.532871,0.473197
-0.039323,4.532871,0.473197
-0.039316,4.532871,0.473197
-0.039310,4.532871,0.473197
-0.039303,4.532871,0.473197
-0.039297,4.532871,0.473197
-0.039290,4.532871,0.473197
-0.039284,4.532871,0.473197
-0.039277,4.532871,0.473197
-0.039271,4.532871,0.473197
-0.039264,4.532871,0.473197
-0.039258,4.532871,0.473197
-0.039251,4.532871,0.473197
-0.039245,4.532871,0.473197
-0.039238,4.532871,0.473197
-0.039232,4.532871,0.473197
-0.039225,4.532871,0.473197
-0.039219,4.532871,0.473197
-0.039212,4.532871,0.473197
-0.039206,4.532871,0.473197
-0.039199,4.532871,0.473197
-0.039193,4.532871,0.473197
-0.039186,4.532871,0.473197
-0.039180,4.532871,0.473197
-0.039173,4.532871,0.473197
-0.039167,4.532871,0.473197
-0.039160,4.532871,0.473197
-0.039154,4.532871,0.473197
-0.039147,4.532871,0.473197
-0.039141,4.532871,0.473197
-0.039134,4.532871,0.473197
-0.039128,4.532871,0.473197
-0.039121,4.532871,0.473197
-0.039115,4.532871,0.473197
-0.039108,4.532871,0.473197
-0.039102,4.532871,0.473197
-0.039095,4.532871,0.473197
-0.039089,4.532871,0.473197
-0.039082,4.532871,0.473197
-0.039076,4.532871,0.473197
-0.039069,4.532871,0.473197
-0.039063,4.532871,0.473197
-0.039056,4.532871,0.473197
-0.039049,4.532871,0.473197
-0.039043,4.532871,0.473197
-0.039036,4.532871,0.473197
-0.039030,4.532871,0.473197
-0.039023,4.532871,0.473197
-0.039017,4.532871,0.473197
-0.039010,4.532871,0.473197
-0.039004,4.532871,0.473197
-0.038997,4.532871,0.473197
-0.038991,4.532871,0.473197
-0.038984,4.532871,0.473197
-0.038978,4.532871,0.473197
-0.038971,4.532871,0.473197
-0.038965,4.532871,0.473197
-0.038958,4.532871,0.473197
-0.038952,4.532871,0.473197
-0.038945,4.532871,0.473197
-0.038939,4.532871,0.473197
-0.038932,4.532871,0.473197
-0.038926,4.532871,0.473197
-0.038919,4.532871,0.473197
-0.038913,4.532871,0.473197
-0.038906,4.532871,0.473197
-0.038900,4.532871,0.473197
-0.038893,4.532871,0.473197
-0.038887,4.532871,0.473197
-0.038880,4.532871,0.473197
-0.038874,4.532871,0.473197
-0.038867,4.532871,0.473197
-0.038861,4.532871,0.473197
-0.038854,4.532871,0.473197
-0.038848,4.532871,0.473197
-0.038841,4.532871,0.473197
-0.038835,4.532871,0.473197
-0.038828,4.532871,0.473197
-0.038822,4.532871,0.473197
-0.038815,4.532871,0.473197
-0.038809,4.532871,0.473197
-0.038802,4.532871,0.473197
-0.038796,4.532871,0.473197
-0.038789,4.532871,0.473197
-0.038783,4.532871,0.473197
-0.038776,4.532871,0.473197
-0.038770,4.532871,0.473197
-0.038763,4.532871,0.473197
-0.038757,4.532871,0.473197
-0.038750,4.532871,0.473197
-0.038743,4.532871,0.473197
-0.038737,4.532871,0.473197
-0.038730,4.532871,0.473197
-0.038724,4.532871,0.473197
-0.038717,4.532871,0.473197
-0.038711,4.532871,0.473197
-0.038704,4.532871,0.473197
-0.038698,4.532871,0.473197
-0.038691,4.532871,0.473197
-0.038685,4.532871,0.473197
-0.038678,4.532871,0.473197
-0.038672,4.532871,0.473197
-0.038665,4.532871,0.473197
-0.038659,4.532871,0.473197
-0.038652,4.532871,0.473197
-0.038646,4.532871,0.473197
-0.038639,4.532871,0.473197
-0.038633,4.532871,0.473197
-0.038626,4.532871,0.473197
-0.038620,4.532871,0.473197
-0.038613,4.532871,0.473197
-0.038607,4.532871,0.473197
-0.038600,4.532871,0.473197
-0.038594,4.532871,0.473197
-0.038587,4.532871,0.473197
-0.038581,4.532871,0.473197
-0.038574,4.532871,0.473197
-0.038568,4.532871,0.473197
-0.038561,4.532871,0.473197
-0.038555,4.532871,0.473197
-0.038548,4.532871,0.473197
-0.038542,4.532871,0.473197
-0.038535,4.532871,0.473197
-0.038529,4.532871,0.473197
-0.038522,4.532871,0.473197
-0.038516,4.532871,0.473197
-0.038509,4.532871,0.473197
-0.038503,4.532871,0.473197
-0.038496,4.532871,0.473197
-0.038490,4.532871,0.473197
-0.038483,4.532871,0.473197
-0.038477,4.532871,0.473197
-0.038470,4.532871,0.473197
-0.038464,4.532871,0.473197
-0.038457,4.532871,0.473197
-0.038451,4.532871,0.473197
-0.038444,4.532871,0.473197
-0.038438,4.532871,0.473197
-0.038431,4.532871,0.473197
-0.038424,4.532871,0.473197
-0.038418,4.532871,0.473197
-0.038411,4.532871,0.473197
-0.038405,4.532871,0.473197
-0.038398,4.532871,0.473197
-0.038392,4.532871,0.473197
-0.038385,4.532871,0.473197
-0.038379,4.532871,0.473197
-0.038372,4.532871,0.473197
-0.038366,4.532871,0.473197
-0.038359,4.532871,0.473197
-0.038353,4.532871,0.473197
-0.038346,4.532871,0.473197
-0.038340,4.532871,0.473197
-0.038333,4.532871,0.473197
-0.038327,4.532871,0.473197
-0.038320,4.532871,0.473197
-0.038314,4.532871,0.473197
-0.038307,4.532871,0.473197
-0.038301,4.532871,0.473197
-0.038294,4.532871,0.473197
-0.038288,4.532871,0.473197
-0.038281,4.532871,0.473197
-0.038275,4.532871,0.473197
-0.038268,4.532871,0.473197
-0.038262,4.532871,0.473197
-0.038255,4.532871,0.473197
-0.038249,4.532871,0.473197
-0.038242,4.532871,0.473197
-0.038236,4.532871,0.473197
-0.038229,4.532871,0.473197
-0.038223,4.532871,0.473197
-0.038216,4.532871,0.473197
-0.038210,4.532871,0.473197
-0.038203,4.532871,0.473197
-0.038197,4.532871,0.473197
-0.038190,4.532871,0.473197
-0.038184,4.532871,0.473197
-0.038177,4.532871,0.473197
-0.038171,4.532871,0.473197
-0.038164,4.532871,0.473197
-0.038158,4.532871,0.473197
-0.038151,4.532871,0.473197
-0.038145,4.532871,0.473197
-0.038138,4.532871,0.473197
-0.038132,4.532871,0.473197
-0.038125,4.532871,0.473197
-0.038118,4.532871,0.473197
-0.038112,4.532871,0.473197
-0.038105,4.532871,0.473197
-0.038099,4.532871,0.473197
-0.038092,4.532871,0.473197
-0.038086,4.532871,0.473197
-0.038079,4.532871,0.473197
-0.038073,4.532871,0.473197
-0.038066,4.532871,0.473197
-0.038060,4.532871,0.473197
-0.038053,4.532871,0.473197
-0.038047,4.532871,0.473197
-0.038040,4.532871,0.473197
-0.038034,4.532871,0.473197
-0.038027,4.532871,0.473197
-0.038021,4.532871,0.473197
-0.038014,4.532871,0.473197
-0.038008,4.532871,0.473197
-0.038001,4.532871,0.473197
-0.037995,4.532871,0.473197
-0.037988,4.532871,0.473197
-0.037982,4.532871,0.473197
-0.037975,4.532871,0.473197
-0.037969,4.532871,0.473197
-0.037962,4.532871,0.473197
-0.037956,4.532871,0.473197
-0.037949,4.532871,0.473197
-0.037943,4.532871,0.473197
-0.037936,4.532871,0.473197
-0.037930,4.532871,0.473197
-0.037923,4.532871,0.473197
-0.037917,4.532871,0.473197
-0.037910,4.532871,0.473197
-0.037904,4.532871,0.473197
-0.037897,4.532871,0.473197
-0.037891,4.532871,0.473197
-0.037884,4.532871,0.473197
-0.037878,4.532871,0.473197
-0.037871,4.532871,0.473197
-0.037865,4.532871,0.473197
-0.037858,4.532871,0.473197
-0.037852,4.532871,0.473197
-0.037845,4.532871,0.473197
-0.037839,4.532871,0.473197
-0.037832,4.532871,0.473197
-0.037826,4.532871,0.473197
-0.037819,4.532871,0.473197
-0.037813,4.532871,0.473197
-0.037806,4.532871,0.473197
-0.037799,4.532871,0.473197
-0.037793,4.532871,0.473197
-0.037786,4.532871,0.473197
-0.037780,4.532871,0.473197
-0.037773,4.532871,0.473197
-0.037767,4.532871,0.473197
-0.037760,4.532871,0.473197
-0.037754,4.532871,0.473197
-0.037747,4.532871,0.473197
-0.037741,4.532871,0.473197
-0.037734,4.532871,0.473197
-0.037728,4.532871,0.473197
-0.037721,4.532871,0.473197
-0.037715,4.532871,0.473197
-0.037708,4.532871,0.473197
-0.037702,4.532871,0.473197
-0.037695,4.532871,0.473197
-0.037689,4.532871,0.473197
-0.037682,4.532871,0.473197
-0.037676,4.532871,0.473197
-0.037669,4.532871,0.473197
-0.037663,4.532871,0.473197
-0.037656,4.532871,0.473197
-0.037650,4.532871,0.473197
-0.037643,4.532871,0.473197
-0.037637,4.532871,0.473197
-0.037630,4.532871,0.473197
-0.037624,4.532871,0.473197
-0.037617,4.532871,0.473197
-0.037611,4.532871,0.473197
-0.037604,4.532871,0.473197
-0.037598,4.532871,0.473197
-0.037591,4.532871,0.473197
-0.037585,4.532871,0.473197
-0.037578,4.532871,0.473197
-0.037572,4.532871,0.473197
-0.037565,4.532871,0.473197
-0.037559,4.532871,0.473197
-0.037552,4.532871,0.473197
-0.037546,4.532871,0.473197
-0.037539,4.532871,0.473197
-0.037533,4.532871,0.473197
-0.037526,4.532871,0.473197
-0.037520,4.532871,0.473197
-0.037513,4.532871,0.473197
-0.037507,4.532871,0.473197
-0.037500,4.532871,0.473197
-0.037493,4.532871,0.473197
-0.037487,4.532871,0.473197
-0.037480,4.532871,0.473197
-0.037474,4.532871,0.473197
-0.037467,4.532871,0.473197
-0.037461,4.532871,0.473197
-0.037454,4.532871,0.473197
-0.037448,4.532871,0.473197
-0.037441,4.532871,0.473197
-0.037435,4.532871,0.473197
-0.037428,4.532871,0.473197
-0.037422,4.532871,0.473197
-0.037415,4.532871,0.473197
-0.037409,4.532871,0.473197
-0.037402,4.532871,0.473197
-0.037396,4.532871,0.473197
-0.037389,4.532871,0.473197
-0.037383,4.532871,0.473197
-0.037376,4.532871,0.473197
-0.037370,4.532871,0.473197
-0.037363,4.532871,0.473197
-0.037357,4.532871,0.473197
-0.037350,4.532871,0.473197
-0.037344,4.532871,0.473197
-0.037337,4.532871,0.473197
-0.037331,4.532871,0.473197
-0.037324,4.532871,0.473197
-0.037318,4.532871,0.473197
-0.037311,4.532871,0.473197
-0.037305,4.532871,0.473197
-0.037298,4.532871,0.473197
-0.037292,4.532871,0.473197
-0.037285,4.532871,0.473197
-0.037279,4.532871,0.473197
-0.037272,4.532871,0.473197
-0.037266,4.532871,0.473197
-0.037259,4.532871,0.473197
-0.037253,4.532871,0.473197
-0.037246,4.532871,0.473197
-0.037240,4.532871,0.473197
-0.037233,4.532871,0.473197
-0.037227,4.532871,0.473197
-0.037220,4.532871,0.473197
-0.037214,4.532871,0.473197
-0.037207,4.532871,0.473197
-0.037201,4.532871,0.473197
-0.037194,4.532871,0.473197
-0.037188,4.532871,0.473197
-0.037181,4.532871,0.473197
-0.037174,4.532871,0.473197
-0.037168,4.532871,0.473197
-0.037161,4.532871,0.473197
-0.037155,4.532871,0.473197
-0.037148,4.532871,0.473197
-0.037142,4.532871,0.473197
-0.037135,4.532871,0.473197
