Time(s),CH1(V),CH2(V)
-0.040938,0.708137,0.660697
-0.040931,0.708137,0.660697
-0.040924,0.708137,0.660697
-0.040918,0.708137,0.660697
-0.040911,0.708137,0.660697
-0.040905,0.708137,0.660697
-0.040898,0.708137,0.660697
-0.040892,0.708137,0.660697
-0.040885,0.708137,0.660697
-0.040879,0.708137,0.660697
-0.040872,0.708137,0.660697
-0.040866,0.708137,0.660697
-0.040859,0.708137,0.660697
-0.040853,0.708137,0.660697
-0.040846,0.708137,0.660697
-0.040840,0.708137,0.660697
-0.040833,0.708137,0.660697
-0.040827,0.708137,0.660697
-0.040820,0.708137,0.660697
-0.040814,0.708137,0.660697
-0.040807,0.708137,0.660697
-0.040801,0.708137,0.660697
-0.040794,0.708137,0.660697
-0.040788,0.708137,0.660697
-0.040781,0.708137,0.660697
-0.040775,0.708137,0.660697
-0.040768,0.708137,0.660697
-0.040762,0.708137,0.660697
-0.040755,0.708137,0.660697
-0.040749,0.708137,0.660697
-0.040742,0.708137,0.660697
-0.040736,0.708137,0.660697
-0.040729,0.708137,0.660697
-0.040723,0.708137,0.660697
-0.040716,0.708137,0.660697
-0.040710,0.708137,0.660697
-0.040703,0.708137,0.660697
-0.040697,0.708137,0.660697
-0.040690,0.708137,0.660697
-0.040684,0.708137,0.660697
-0.040677,0.708137,0.660697
-0.040671,0.708137,0.660697
-0.040664,0.708137,0.660697
-0.040658,0.708137,0.660697
-0.040651,0.708137,0.660697
-0.040645,0.708137,0.660697
-0.040638,0.708137,0.660697
-0.040632,0.708137,0.660697
-0.040625,0.708137,0.660697
-0.040618,0.708137,0.660697
-0.040612,0.708137,0.660697
-0.040605,0.708137,0.660697
-0.040599,0.708137,0.660697
-0.040592,0.708137,0.660697
-0.040586,0.708137,0.660697
-0.040579,0.708137,0.660697
-0.040573,0.708137,0.660697
-0.040566,0.708137,0.660697
-0.040560,0.708137,0.660697
-0.040553,0.708137,0.660697
-0.040547,0.708137,0.660697
-0.040540,0.708137,0.660697
-0.040534,0.708137,0.660697
-0.040527,0.708137,0.660697
-0.040521,0.708137,0.660697
-0.040514,0.708137,0.660697
-0.040508,0.708137,0.660697
-0.040501,0.708137,0.660697
-0.040495,0.708137,0.660697
-0.040488,0.708137,0.660697
-0.040482,0.708137,0.660697
-0.040475,0.708137,0.660697
-0.040469,0.708137,0.660697
-0.040462,0.708137,0.660697
-0.040456,0.708137,0.660697
-0.040449,0.708137,0.660697
-0.040443,0.708137,0.660697
-0.040436,0.708137,0.660697
-0.040430,0.708137,0.660697
-0.040423,0.708137,0.660697
-0.040417,0.708137,0.660697
-0.040410,0.708137,0.660697
-0.040404,0.708137,0.660697
-0.040397,0.708137,0.660697
-0.040391,0.708137,0.660697
-0.040384,0.708137,0.660697
-0.040378,0.708137,0.660697
-0.040371,0.708137,0.660697
-0.040365,0.708137,0.660697
-0.040358,0.708137,0.660697
-0.040352,0.708137,0.660697
-0.040345,0.708137,0.660697
-0.040339,0.708137,0.660697
-0.040332,0.708137,0.660697
-0.040326,0.708137,0.660697
-0.040319,0.708137,0.660697
-0.040313,0.708137,0.660697
-0.040306,0.708137,0.660697
-0.040299,0.708137,0.660697
