Time(s),CH1(V),CH2(V)
-0.040938,0.288037,0.473197
-0.040931,0.288037,0.473197
-0.040924,0.288037,0.473197
-0.040918,0.288037,0.473197
-0.040911,0.288037,0.473197
-0.040905,0.288037,0.473197
-0.040898,0.288037,0.473197
-0.040892,0.288037,0.473197
-0.040885,0.288037,0.473197
-0.040879,0.288037,0.473197
-0.040872,0.288037,0.473197
-0.040866,0.288037,0.473197
-0.040859,0.288037,0.473197
-0.040853,0.288037,0.473197
-0.040846,0.288037,0.473197
-0.040840,0.288037,0.473197
-0.040833,0.288037,0.473197
-0.040827,0.288037,0.473197
-0.040820,0.288037,0.473197
-0.040814,0.288037,0.473197
-0.040807,0.288037,0.473197
-0.040801,0.288037,0.473197
-0.040794,0.288037,0.473197
-0.040788,0.288037,0.473197
-0.040781,0.288037,0.473197
-0.040775,0.288037,0.473197
-0.040768,0.288037,0.473197
-0.040762,0.288037,0.473197
-0.040755,0.288037,0.473197
-0.040749,0.288037,0.473197
-0.040742,0.288037,0.473197
-0.040736,0.288037,0.473197
-0.040729,0.288037,0.473197
-0.040723,0.288037,0.473197
-0.040716,0.288037,0.473197
-0.040710,0.288037,0.473197
-0.040703,0.288037,0.473197
-0.040697,0.288037,0.473197
-0.040690,0.288037,0.473197
-0.040684,0.288037,0.473197
-0.040677,0.288037,0.473197
-0.040671,0.288037,0.473197
-0.040664,0.288037,0.473197
-0.040658,0.288037,0.473197
-0.040651,0.288037,0.473197
-0.040645,0.288037,0.473197
-0.040638,0.288037,0.473197
-0.040632,0.288037,0.473197
-0.040625,0.288037,0.473197
-0.040618,0.288037,0.473197
-0.040612,0.288037,0.473197
-0.040605,0.288037,0.473197
-0.040599,0.288037,0.473197
-0.040592,0.288037,0.473197
-0.040586,0.288037,0.473197
-0.040579,0.288037,0.473197
-0.040573,0.288037,0.473197
-0.040566,0.288037,0.473197
-0.040560,0.288037,0.473197
-0.040553,0.288037,0.473197
-0.040547,0.288037,0.473197
-0.040540,0.288037,0.473197
-0.040534,0.288037,0.473197
-0.040527,0.288037,0.473197
-0.040521,0.288037,0.473197
-0.040514,0.288037,0.473197
-0.040508,0.288037,0.473197
-0.040501,0.288037,0.473197
-0.040495,0.288037,0.473197
-0.040488,0.288037,0.473197
-0.040482,0.288037,0.473197
-0.040475,0.288037,0.473197
-0.040469,0.288037,0.473197
-0.040462,0.288037,0.473197
-0.040456,0.288037,0.473197
-0.040449,0.288037,0.473197
-0.040443,0.288037,0.473197
-0.040436,0.288037,0.473197
-0.040430,0.288037,0.473197
-0.040423,0.288037,0.473197
-0.040417,0.288037,0.473197
-0.040410,0.288037,0.473197
-0.040404,0.288037,0.473197
-0.040397,0.288037,0.473197
-0.040391,0.288037,0.473197
-0.040384,0.288037,0.473197
-0.040378,0.288037,0.473197
-0.040371,0.288037,0.473197
-0.040365,0.288037,0.473197
-0.040358,0.288037,0.473197
-0.040352,0.288037,0.473197
-0.040345,0.288037,0.473197
-0.040339,0.288037,0.473197
-0.040332,0.288037,0.473197
-0.040326,0.288037,0.473197
-0.040319,0.288037,0.473197
