in s,C1 in V,C2 in V
-3.6176224E-02,1.42000381E+01,5.00003815E-01
-3.6175760E-02,1.42000381E+01,5.00003815E-01
-3.6175296E-02,1.42000381E+01,5.00003815E-01
-3.6174832E-02,1.42000381E+01,5.00003815E-01
-3.6174368E-02,1.42000381E+01,5.00003815E-01
-3.6173904E-02,1.42000381E+01,5.00003815E-01
-3.6173440E-02,1.42000381E+01,5.00003815E-01
-3.6172976E-02,1.42000381E+01,5.00003815E-01
-3.6172512E-02,1.42000381E+01,5.00003815E-01
-3.6172048E-02,1.42000381E+01,5.00003815E-01
-3.6171584E-02,1.42000381E+01,5.00003815E-01
-3.6171120E-02,1.42000381E+01,5.00003815E-01
-3.6170656E-02,1.42000381E+01,5.00003815E-01
-3.6170192E-02,1.42000381E+01,5.00003815E-01
-3.6169728E-02,1.42000381E+01,5.00003815E-01
-3.6169264E-02,1.42000381E+01,5.00003815E-01
-3.6168800E-02,1.42000381E+01,5.00003815E-01
-3.6168336E-02,1.42000381E+01,5.00003815E-01
-3.6167872E-02,1.42000381E+01,5.00003815E-01
-3.6167408E-02,1.42000381E+01,5.00003815E-01
-3.6166944E-02,1.42000381E+01,5.00003815E-01
-3.6166480E-02,1.42000381E+01,5.00003815E-01
-3.6166016E-02,1.42000381E+01,5.00003815E-01
-3.6165552E-02,1.42000381E+01,5.00003815E-01
-3.6165088E-02,1.42000381E+01,5.00003815E-01
-3.6164624E-02,1.42000381E+01,5.00003815E-01
-3.6164160E-02,1.42000381E+01,5.00003815E-01
-3.6163696E-02,1.42000381E+01,5.00003815E-01
-3.6163232E-02,1.42000381E+01,5.00003815E-01
-3.6162768E-02,1.42000381E+01,5.00003815E-01
-3.6162304E-02,1.42000381E+01,5.00003815E-01
-3.6161840E-02,1.42000381E+01,5.00003815E-01
-3.6161376E-02,1.42000381E+01,5.00003815E-01
-3.6160912E-02,1.42000381E+01,5.00003815E-01
-3.6160448E-02,1.42000381E+01,5.00003815E-01
-3.6159984E-02,1.42000381E+01,5.00003815E-01
-3.6159520E-02,1.42000381E+01,5.00003815E-01
-3.6159056E-02,1.42000381E+01,5.00003815E-01
-3.6158592E-02,1.42000381E+01,5.00003815E-01
-3.6158128E-02,1.42000381E+01,5.00003815E-01
-3.6157664E-02,1.42000381E+01,5.00003815E-01
-3.6157200E-02,1.42000381E+01,5.00003815E-01
-3.6156736E-02,1.42000381E+01,5.00003815E-01
-3.6156272E-02,1.42000381E+01,5.00003815E-01
-3.6155808E-02,1.42000381E+01,5.00003815E-01
-3.6155344E-02,1.42000381E+01,5.00003815E-01
-3.6154880E-02,1.42000381E+01,5.00003815E-01
-3.6154416E-02,1.42000381E+01,5.00003815E-01
-3.6153952E-02,1.42000381E+01,5.00003815E-01
-3.6153488E-02,1.42000381E+01,5.00003815E-01
-3.6153024E-02,1.42000381E+01,5.00003815E-01
-3.6152560E-02,1.42000381E+01,5.00003815E-01
-3.6152096E-02,1.42000381E+01,5.00003815E-01
-3.6151632E-02,1.42000381E+01,5.00003815E-01
-3.6151168E-02,1.42000381E+01,5.00003815E-01
-3.6150704E-02,1.42000381E+01,5.00003815E-01
-3.6150240E-02,1.42000381E+01,5.00003815E-01
-3.6149776E-02,1.42000381E+01,5.00003815E-01
-3.6149312E-02,1.42000381E+01,5.00003815E-01
-3.6148848E-02,1.42000381E+01,5.00003815E-01
-3.6148384E-02,1.42000381E+01,5.00003815E-01
-3.6147920E-02,1.42000381E+01,5.00003815E-01
-3.6147456E-02,1.42000381E+01,5.00003815E-01
-3.6146992E-02,1.42000381E+01,5.00003815E-01
-3.6146528E-02,1.42000381E+01,5.00003815E-01
-3.6146064E-02,1.42000381E+01,5.00003815E-01
-3.6145600E-02,1.42000381E+01,5.00003815E-01
-3.6145136E-02,1.42000381E+01,5.00003815E-01
-3.6144672E-02,1.42000381E+01,5.00003815E-01
-3.6144208E-02,1.42000381E+01,5.00003815E-01
-3.6143744E-02,1.42000381E+01,5.00003815E-01
-3.6143280E-02,1.42000381E+01,5.00003815E-01
-3.6142816E-02,1.42000381E+01,5.00003815E-01
-3.6142352E-02,1.42000381E+01,5.00003815E-01
-3.6141888E-02,1.42000381E+01,5.00003815E-01
-3.6141424E-02,1.42000381E+01,5.00003815E-01
-3.6140960E-02,1.42000381E+01,5.00003815E-01
-3.6140496E-02,1.42000381E+01,5.00003815E-01
-3.6140032E-02,1.42000381E+01,5.00003815E-01
-3.6139568E-02,1.42000381E+01,5.00003815E-01
-3.6139104E-02,1.42000381E+01,5.00003815E-01
-3.6138640E-02,1.42000381E+01,5.00003815E-01
-3.6138176E-02,1.42000381E+01,5.00003815E-01
-3.6137712E-02,1.42000381E+01,5.00003815E-01
-3.6137248E-02,1.42000381E+01,5.00003815E-01
-3.6136784E-02,1.42000381E+01,5.00003815E-01
-3.6136320E-02,1.42000381E+01,5.00003815E-01
-3.6135856E-02,1.42000381E+01,5.00003815E-01
-3.6135392E-02,1.42000381E+01,5.00003815E-01
-3.6134928E-02,1.42000381E+01,5.00003815E-01
-3.6134464E-02,1.42000381E+01,5.00003815E-01
-3.6134000E-02,1.42000381E+01,5.00003815E-01
-3.6133536E-02,1.42000381E+01,5.00003815E-01
-3.6133072E-02,1.42000381E+01,5.00003815E-01
-3.6132608E-02,1.42000381E+01,5.00003815E-01
-3.6132144E-02,1.42000381E+01,5.00003815E-01
-3.6131680E-02,1.42000381E+01,5.00003815E-01
-3.6131216E-02,1.42000381E+01,5.00003815E-01
-3.6130752E-02,1.42000381E+01,5.00003815E-01
-3.6130288E-02,1.42000381E+01,5.00003815E-01
-3.6129824E-02,1.42000381E+01,5.00003815E-01
-3.6129360E-02,1.42000381E+01,5.00003815E-01
-3.6128896E-02,1.42000381E+01,5.00003815E-01
-3.6128432E-02,1.42000381E+01,5.00003815E-01
-3.6127968E-02,1.42000381E+01,5.00003815E-01
-3.6127504E-02,1.42000381E+01,5.00003815E-01
-3.6127040E-02,1.42000381E+01,5.00003815E-01
-3.6126576E-02,1.42000381E+01,5.00003815E-01
-3.6126112E-02,1.42000381E+01,5.00003815E-01
-3.6125648E-02,1.42000381E+01,5.00003815E-01
-3.6125184E-02,1.42000381E+01,5.00003815E-01
-3.6124720E-02,1.42000381E+01,5.00003815E-01
-3.6124256E-02,1.42000381E+01,5.00003815E-01
-3.6123792E-02,1.42000381E+01,5.00003815E-01
-3.6123328E-02,1.42000381E+01,5.00003815E-01
-3.6122864E-02,1.42000381E+01,5.00003815E-01
-3.6122400E-02,1.42000381E+01,5.00003815E-01
-3.6121936E-02,1.42000381E+01,5.00003815E-01
-3.6121472E-02,1.42000381E+01,5.00003815E-01
-3.6121008E-02,1.42000381E+01,5.00003815E-01
-3.6120544E-02,1.42000381E+01,5.00003815E-01
-3.6120080E-02,1.42000381E+01,5.00003815E-01
-3.6119616E-02,1.42000381E+01,5.00003815E-01
-3.6119152E-02,1.42000381E+01,5.00003815E-01
-3.6118688E-02,1.42000381E+01,5.00003815E-01
-3.6118224E-02,1.42000381E+01,5.00003815E-01
-3.6117760E-02,1.42000381E+01,5.00003815E-01
-3.6117296E-02,1.42000381E+01,5.00003815E-01
-3.6116832E-02,1.42000381E+01,5.00003815E-01
-3.6116368E-02,1.42000381E+01,5.00003815E-01
-3.6115904E-02,1.42000381E+01,5.00003815E-01
-3.6115440E-02,1.42000381E+01,5.00003815E-01
-3.6114976E-02,1.42000381E+01,5.00003815E-01
-3.6114512E-02,1.42000381E+01,5.00003815E-01
-3.6114048E-02,1.42000381E+01,5.00003815E-01
-3.6113584E-02,1.42000381E+01,5.00003815E-01
-3.6113120E-02,1.42000381E+01,5.00003815E-01
-3.6112656E-02,1.42000381E+01,5.00003815E-01
-3.6112192E-02,1.42000381E+01,5.00003815E-01
-3.6111728E-02,1.42000381E+01,5.00003815E-01
-3.6111264E-02,1.42000381E+01,5.00003815E-01
-3.6110800E-02,1.42000381E+01,5.00003815E-01
-3.6110336E-02,1.42000381E+01,5.00003815E-01
-3.6109872E-02,1.42000381E+01,5.00003815E-01
-3.6109408E-02,1.42000381E+01,5.00003815E-01
-3.6108944E-02,1.42000381E+01,5.00003815E-01
-3.6108480E-02,1.42000381E+01,5.00003815E-01
-3.6108016E-02,1.42000381E+01,5.00003815E-01
-3.6107552E-02,1.42000381E+01,5.00003815E-01
-3.6107088E-02,1.42000381E+01,5.00003815E-01
-3.6106624E-02,1.42000381E+01,5.00003815E-01
-3.6106160E-02,1.42000381E+01,5.00003815E-01
-3.6105696E-02,1.42000381E+01,5.00003815E-01
-3.6105232E-02,1.42000381E+01,5.00003815E-01
-3.6104768E-02,1.42000381E+01,5.00003815E-01
-3.6104304E-02,1.42000381E+01,5.00003815E-01
-3.6103840E-02,1.42000381E+01,5.00003815E-01
-3.6103376E-02,1.42000381E+01,5.00003815E-01
-3.6102912E-02,1.42000381E+01,5.00003815E-01
-3.6102448E-02,1.42000381E+01,5.00003815E-01
-3.6101984E-02,1.42000381E+01,5.00003815E-01
-3.6101520E-02,1.42000381E+01,5.00003815E-01
-3.6101056E-02,1.42000381E+01,5.00003815E-01
-3.6100592E-02,1.42000381E+01,5.00003815E-01
-3.6100128E-02,1.42000381E+01,5.00003815E-01
-3.6099664E-02,1.42000381E+01,5.00003815E-01
-3.6099200E-02,1.42000381E+01,5.00003815E-01
-3.6098736E-02,1.42000381E+01,5.00003815E-01
-3.6098272E-02,1.42000381E+01,5.00003815E-01
-3.6097808E-02,1.42000381E+01,5.00003815E-01
-3.6097344E-02,1.42000381E+01,5.00003815E-01
-3.6096880E-02,1.42000381E+01,5.00003815E-01
-3.6096416E-02,1.42000381E+01,5.00003815E-01
-3.6095952E-02,1.42000381E+01,5.00003815E-01
-3.6095488E-02,1.42000381E+01,5.00003815E-01
-3.6095024E-02,1.42000381E+01,5.00003815E-01
-3.6094560E-02,1.42000381E+01,5.00003815E-01
-3.6094096E-02,1.42000381E+01,5.00003815E-01
-3.6093632E-02,1.42000381E+01,5.00003815E-01
-3.6093168E-02,1.42000381E+01,5.00003815E-01
-3.6092704E-02,1.42000381E+01,5.00003815E-01
-3.6092240E-02,1.42000381E+01,5.00003815E-01
-3.6091776E-02,1.42000381E+01,5.00003815E-01
-3.6091312E-02,1.42000381E+01,5.00003815E-01
-3.6090848E-02,1.42000381E+01,5.00003815E-01
-3.6090384E-02,1.42000381E+01,5.00003815E-01
-3.6089920E-02,1.42000381E+01,5.00003815E-01
-3.6089456E-02,1.42000381E+01,5.00003815E-01
-3.6088992E-02,1.42000381E+01,5.00003815E-01
-3.6088528E-02,1.42000381E+01,5.00003815E-01
-3.6088064E-02,1.42000381E+01,5.00003815E-01
-3.6087600E-02,1.42000381E+01,5.00003815E-01
-3.6087136E-02,1.42000381E+01,5.00003815E-01
-3.6086672E-02,1.42000381E+01,5.00003815E-01
-3.6086208E-02,1.42000381E+01,5.00003815E-01
-3.6085744E-02,1.42000381E+01,5.00003815E-01
-3.6085280E-02,1.42000381E+01,5.00003815E-01
-3.6084816E-02,1.42000381E+01,5.00003815E-01
-3.6084352E-02,1.42000381E+01,5.00003815E-01
-3.6083888E-02,1.42000381E+01,5.00003815E-01
-3.6083424E-02,1.42000381E+01,5.00003815E-01
-3.6082960E-02,1.42000381E+01,5.00003815E-01
-3.6082496E-02,1.42000381E+01,5.00003815E-01
-3.6082032E-02,1.42000381E+01,5.00003815E-01
-3.6081568E-02,1.42000381E+01,5.00003815E-01
-3.6081104E-02,1.42000381E+01,5.00003815E-01
-3.6080640E-02,1.42000381E+01,5.00003815E-01
-3.6080176E-02,1.42000381E+01,5.00003815E-01
-3.6079712E-02,1.42000381E+01,5.00003815E-01
-3.6079248E-02,1.42000381E+01,5.00003815E-01
-3.6078784E-02,1.42000381E+01,5.00003815E-01
-3.6078320E-02,1.42000381E+01,5.00003815E-01
-3.6077856E-02,1.42000381E+01,5.00003815E-01
-3.6077392E-02,1.42000381E+01,5.00003815E-01
-3.6076928E-02,1.42000381E+01,5.00003815E-01
-3.6076464E-02,1.42000381E+01,5.00003815E-01
-3.6076000E-02,1.42000381E+01,5.00003815E-01
-3.6075536E-02,1.42000381E+01,5.00003815E-01
-3.6075072E-02,1.42000381E+01,5.00003815E-01
-3.6074608E-02,1.42000381E+01,5.00003815E-01
-3.6074144E-02,1.42000381E+01,5.00003815E-01
-3.6073680E-02,1.42000381E+01,5.00003815E-01
-3.6073216E-02,1.42000381E+01,5.00003815E-01
-3.6072752E-02,1.42000381E+01,5.00003815E-01
-3.6072288E-02,1.42000381E+01,5.00003815E-01
-3.6071824E-02,1.42000381E+01,5.00003815E-01
-3.6071360E-02,1.42000381E+01,5.00003815E-01
-3.6070896E-02,1.42000381E+01,5.00003815E-01
-3.6070432E-02,1.42000381E+01,5.00003815E-01
-3.6069968E-02,1.42000381E+01,5.00003815E-01
-3.6069504E-02,1.42000381E+01,5.00003815E-01
-3.6069040E-02,1.42000381E+01,5.00003815E-01
-3.6068576E-02,1.42000381E+01,5.00003815E-01
-3.6068112E-02,1.42000381E+01,5.00003815E-01
-3.6067648E-02,1.42000381E+01,5.00003815E-01
-3.6067184E-02,1.42000381E+01,5.00003815E-01
-3.6066720E-02,1.42000381E+01,5.00003815E-01
-3.6066256E-02,1.42000381E+01,5.00003815E-01
-3.6065792E-02,1.42000381E+01,5.00003815E-01
-3.6065328E-02,1.42000381E+01,5.00003815E-01
-3.6064864E-02,1.42000381E+01,5.00003815E-01
-3.6064400E-02,1.42000381E+01,5.00003815E-01
-3.6063936E-02,1.42000381E+01,5.00003815E-01
-3.6063472E-02,1.42000381E+01,5.00003815E-01
-3.6063008E-02,1.42000381E+01,5.00003815E-01
-3.6062544E-02,1.42000381E+01,5.00003815E-01
-3.6062080E-02,1.42000381E+01,5.00003815E-01
-3.6061616E-02,1.42000381E+01,5.00003815E-01
-3.6061152E-02,1.42000381E+01,5.00003815E-01
-3.6060688E-02,1.42000381E+01,5.00003815E-01
-3.6060224E-02,1.42000381E+01,5.00003815E-01
-3.6059760E-02,1.42000381E+01,5.00003815E-01
-3.6059296E-02,1.42000381E+01,5.00003815E-01
-3.6058832E-02,1.42000381E+01,5.00003815E-01
-3.6058368E-02,1.42000381E+01,5.00003815E-01
-3.6057904E-02,1.42000381E+01,5.00003815E-01
-3.6057440E-02,1.42000381E+01,5.00003815E-01
-3.6056976E-02,1.42000381E+01,5.00003815E-01
-3.6056512E-02,1.42000381E+01,5.00003815E-01
-3.6056048E-02,1.42000381E+01,5.00003815E-01
-3.6055584E-02,1.42000381E+01,5.00003815E-01
-3.6055120E-02,1.42000381E+01,5.00003815E-01
-3.6054656E-02,1.42000381E+01,5.00003815E-01
-3.6054192E-02,1.42000381E+01,5.00003815E-01
-3.6053728E-02,1.42000381E+01,5.00003815E-01
-3.6053264E-02,1.42000381E+01,5.00003815E-01
-3.6052800E-02,1.42000381E+01,5.00003815E-01
-3.6052336E-02,1.42000381E+01,5.00003815E-01
-3.6051872E-02,1.42000381E+01,5.00003815E-01
-3.6051408E-02,1.42000381E+01,5.00003815E-01
-3.6050944E-02,1.42000381E+01,5.00003815E-01
-3.6050480E-02,1.42000381E+01,5.00003815E-01
-3.6050016E-02,1.42000381E+01,5.00003815E-01
-3.6049552E-02,1.42000381E+01,5.00003815E-01
-3.6049088E-02,1.42000381E+01,5.00003815E-01
-3.6048624E-02,1.42000381E+01,5.00003815E-01
-3.6048160E-02,1.42000381E+01,5.00003815E-01
-3.6047696E-02,1.42000381E+01,5.00003815E-01
-3.6047232E-02,1.42000381E+01,5.00003815E-01
-3.6046768E-02,1.42000381E+01,5.00003815E-01
-3.6046304E-02,1.42000381E+01,5.00003815E-01
-3.6045840E-02,1.42000381E+01,5.00003815E-01
-3.6045376E-02,1.42000381E+01,5.00003815E-01
-3.6044912E-02,1.42000381E+01,5.00003815E-01
-3.6044448E-02,1.42000381E+01,5.00003815E-01
-3.6043984E-02,1.42000381E+01,5.00003815E-01
-3.6043520E-02,1.42000381E+01,5.00003815E-01
-3.6043056E-02,1.42000381E+01,5.00003815E-01
-3.6042592E-02,1.42000381E+01,5.00003815E-01
-3.6042128E-02,1.42000381E+01,5.00003815E-01
-3.6041664E-02,1.42000381E+01,5.00003815E-01
-3.6041200E-02,1.42000381E+01,5.00003815E-01
-3.6040736E-02,1.42000381E+01,5.00003815E-01
-3.6040272E-02,1.42000381E+01,5.00003815E-01
-3.6039808E-02,1.42000381E+01,5.00003815E-01
-3.6039344E-02,1.42000381E+01,5.00003815E-01
-3.6038880E-02,1.42000381E+01,5.00003815E-01
-3.6038416E-02,1.42000381E+01,5.00003815E-01
-3.6037952E-02,1.42000381E+01,5.00003815E-01
-3.6037488E-02,1.42000381E+01,5.00003815E-01
-3.6037024E-02,1.42000381E+01,5.00003815E-01
-3.6036560E-02,1.42000381E+01,5.00003815E-01
-3.6036096E-02,1.42000381E+01,5.00003815E-01
-3.6035632E-02,1.42000381E+01,5.00003815E-01
-3.6035168E-02,1.42000381E+01,5.00003815E-01
-3.6034704E-02,1.42000381E+01,5.00003815E-01
-3.6034240E-02,1.42000381E+01,5.00003815E-01
-3.6033776E-02,1.42000381E+01,5.00003815E-01
-3.6033312E-02,1.42000381E+01,5.00003815E-01
-3.6032848E-02,1.42000381E+01,5.00003815E-01
-3.6032384E-02,1.42000381E+01,5.00003815E-01
-3.6031920E-02,1.42000381E+01,5.00003815E-01
-3.6031456E-02,1.42000381E+01,5.00003815E-01
-3.6030992E-02,1.42000381E+01,5.00003815E-01
-3.6030528E-02,1.42000381E+01,5.00003815E-01
-3.6030064E-02,1.42000381E+01,5.00003815E-01
-3.6029600E-02,1.42000381E+01,5.00003815E-01
-3.6029136E-02,1.42000381E+01,5.00003815E-01
-3.6028672E-02,1.42000381E+01,5.00003815E-01
-3.6028208E-02,1.42000381E+01,5.00003815E-01
-3.6027744E-02,1.42000381E+01,5.00003815E-01
-3.6027280E-02,1.42000381E+01,5.00003815E-01
-3.6026816E-02,1.42000381E+01,5.00003815E-01
-3.6026352E-02,1.42000381E+01,5.00003815E-01
-3.6025888E-02,1.42000381E+01,5.00003815E-01
-3.6025424E-02,1.42000381E+01,5.00003815E-01
-3.6024960E-02,1.42000381E+01,5.00003815E-01
-3.6024496E-02,1.42000381E+01,5.00003815E-01
-3.6024032E-02,1.42000381E+01,5.00003815E-01
-3.6023568E-02,1.42000381E+01,5.00003815E-01
-3.6023104E-02,1.42000381E+01,5.00003815E-01
-3.6022640E-02,1.42000381E+01,5.00003815E-01
-3.6022176E-02,1.42000381E+01,5.00003815E-01
-3.6021712E-02,1.42000381E+01,5.00003815E-01
-3.6021248E-02,1.42000381E+01,5.00003815E-01
-3.6020784E-02,1.42000381E+01,5.00003815E-01
-3.6020320E-02,1.42000381E+01,5.00003815E-01
-3.6019856E-02,1.42000381E+01,5.00003815E-01
-3.6019392E-02,1.42000381E+01,5.00003815E-01
-3.6018928E-02,1.42000381E+01,5.00003815E-01
-3.6018464E-02,1.42000381E+01,5.00003815E-01
-3.6018000E-02,1.42000381E+01,5.00003815E-01
-3.6017536E-02,1.42000381E+01,5.00003815E-01
-3.6017072E-02,1.42000381E+01,5.00003815E-01
-3.6016608E-02,1.42000381E+01,5.00003815E-01
-3.6016144E-02,1.42000381E+01,5.00003815E-01
-3.6015680E-02,1.42000381E+01,5.00003815E-01
-3.6015216E-02,1.42000381E+01,5.00003815E-01
-3.6014752E-02,1.42000381E+01,5.00003815E-01
-3.6014288E-02,1.42000381E+01,5.00003815E-01
-3.6013824E-02,1.42000381E+01,5.00003815E-01
