in s,C1 in V,C2 in V
-3.7226444E-02,2.1380175E+00,6.25003815E-01
-3.7226068E-02,2.1380175E+00,6.25003815E-01
-3.7225692E-02,2.1380175E+00,6.25003815E-01
-3.7225316E-02,2.1380175E+00,6.25003815E-01
-3.7224940E-02,2.1380175E+00,6.25003815E-01
-3.7224564E-02,2.1380175E+00,6.25003815E-01
-3.7224188E-02,2.1380175E+00,6.25003815E-01
-3.7223812E-02,2.1380175E+00,6.25003815E-01
-3.7223436E-02,2.1380175E+00,6.25003815E-01
-3.7223060E-02,2.1380175E+00,6.25003815E-01
-3.7222684E-02,2.1380175E+00,6.25003815E-01
-3.7222308E-02,2.1380175E+00,6.25003815E-01
-3.7221932E-02,2.1380175E+00,6.25003815E-01
-3.7221556E-02,2.1380175E+00,6.25003815E-01
-3.7221180E-02,2.1380175E+00,6.25003815E-01
-3.7220804E-02,2.1380175E+00,6.25003815E-01
-3.7220428E-02,2.1380175E+00,6.25003815E-01
-3.7220052E-02,2.1380175E+00,6.25003815E-01
-3.7219676E-02,2.1380175E+00,6.25003815E-01
-3.7219300E-02,2.1380175E+00,6.25003815E-01
-3.7218924E-02,2.1380175E+00,6.25003815E-01
-3.7218548E-02,2.1380175E+00,6.25003815E-01
-3.7218172E-02,2.1380175E+00,6.25003815E-01
-3.7217796E-02,2.1380175E+00,6.25003815E-01
-3.7217420E-02,2.1380175E+00,6.25003815E-01
-3.7217044E-02,2.1380175E+00,6.25003815E-01
-3.7216668E-02,2.1380175E+00,6.25003815E-01
-3.7216292E-02,2.1380175E+00,6.25003815E-01
-3.7215916E-02,2.1380175E+00,6.25003815E-01
-3.7215540E-02,2.1380175E+00,6.25003815E-01
-3.7215164E-02,2.1380175E+00,6.25003815E-01
-3.7214788E-02,2.1380175E+00,6.25003815E-01
-3.7214412E-02,2.1380175E+00,6.25003815E-01
-3.7214036E-02,2.1380175E+00,6.25003815E-01
-3.7213660E-02,2.1380175E+00,6.25003815E-01
-3.7213284E-02,2.1380175E+00,6.25003815E-01
-3.7212908E-02,2.1380175E+00,6.25003815E-01
