in s,C1 in V,C2 in V
-3.7976188E-02,3.6401343E+00,6.25003815E-01
-3.7975812E-02,3.6401343E+00,6.25003815E-01
-3.7975436E-02,3.6401343E+00,6.25003815E-01
-3.7975060E-02,3.6401343E+00,6.25003815E-01
-3.7974684E-02,3.6401343E+00,6.25003815E-01
-3.7974308E-02,3.6401343E+00,6.25003815E-01
-3.7973932E-02,3.6401343E+00,6.25003815E-01
-3.7973556E-02,3.6401343E+00,6.25003815E-01
-3.7973180E-02,3.6401343E+00,6.25003815E-01
-3.7972804E-02,3.6401343E+00,6.25003815E-01
-3.7972428E-02,3.6401343E+00,6.25003815E-01
-3.7972052E-02,3.6401343E+00,6.25003815E-01
-3.7971676E-02,3.6401343E+00,6.25003815E-01
-3.7971300E-02,3.6401343E+00,6.25003815E-01
-3.7970924E-02,3.6401343E+00,6.25003815E-01
-3.7970548E-02,3.6401343E+00,6.25003815E-01
-3.7970172E-02,3.6401343E+00,6.25003815E-01
-3.7969796E-02,3.6401343E+00,6.25003815E-01
-3.7969420E-02,3.6401343E+00,6.25003815E-01
-3.7969044E-02,3.6401343E+00,6.25003815E-01
-3.7968668E-02,3.6401343E+00,6.25003815E-01
-3.7968292E-02,3.6401343E+00,6.25003815E-01
-3.7967916E-02,3.6401343E+00,6.25003815E-01
-3.7967540E-02,3.6401343E+00,6.25003815E-01
-3.7967164E-02,3.6401343E+00,6.25003815E-01
-3.7966788E-02,3.6401343E+00,6.25003815E-01
-3.7966412E-02,3.6401343E+00,6.25003815E-01
-3.7966036E-02,3.6401343E+00,6.25003815E-01
-3.7965660E-02,3.6401343E+00,6.25003815E-01
-3.7965284E-02,3.6401343E+00,6.25003815E-01
-3.7964908E-02,3.6401343E+00,6.25003815E-01
-3.7964532E-02,3.6401343E+00,6.25003815E-01
-3.7964156E-02,3.6401343E+00,6.25003815E-01
-3.7963780E-02,3.6401343E+00,6.25003815E-01
-3.7963404E-02,3.6401343E+00,6.25003815E-01
-3.7963028E-02,3.6401343E+00,6.25003815E-01
-3.7962652E-02,3.6401343E+00,6.25003815E-01
-3.7962276E-02,3.6401343E+00,6.25003815E-01
-3.7961900E-02,3.6401343E+00,6.25003815E-01
-3.7961524E-02,3.6401343E+00,6.25003815E-01
-3.7961148E-02,3.6401343E+00,6.25003815E-01
-3.7960772E-02,3.6401343E+00,6.25003815E-01
-3.7960396E-02,3.6401343E+00,6.25003815E-01
-3.7960020E-02,3.6401343E+00,6.25003815E-01
-3.7959644E-02,3.6401343E+00,6.25003815E-01
-3.7959268E-02,3.6401343E+00,6.25003815E-01
-3.7958892E-02,3.6401343E+00,6.25003815E-01
-3.7958516E-02,3.6401343E+00,6.25003815E-01
-3.7958140E-02,3.6401343E+00,6.25003815E-01
-3.7957764E-02,3.6401343E+00,6.25003815E-01
-3.7957388E-02,3.6401343E+00,6.25003815E-01
-3.7957012E-02,3.6401343E+00,6.25003815E-01
-3.7956636E-02,3.6401343E+00,6.25003815E-01
-3.7956260E-02,3.6401343E+00,6.25003815E-01
-3.7955884E-02,3.6401343E+00,6.25003815E-01
-3.7955508E-02,3.6401343E+00,6.25003815E-01
-3.7955132E-02,3.6401343E+00,6.25003815E-01
-3.7954756E-02,3.6401343E+00,6.25003815E-01
-3.7954380E-02,3.6401343E+00,6.25003815E-01
-3.7954004E-02,3.6401343E+00,6.25003815E-01
-3.7953628E-02,3.6401343E+00,6.25003815E-01
-3.7953252E-02,3.6401343E+00,6.25003815E-01
-3.7952876E-02,3.6401343E+00,6.25003815E-01
-3.7952500E-02,3.6401343E+00,6.25003815E-01
-3.7952124E-02,3.6401343E+00,6.25003815E-01
-3.7951748E-02,3.6401343E+00,6.25003815E-01
-3.7951372E-02,3.6401343E+00,6.25003815E-01
-3.7950996E-02,3.6401343E+00,6.25003815E-01
-3.7950620E-02,3.6401343E+00,6.25003815E-01
-3.7950244E-02,3.6401343E+00,6.25003815E-01
-3.7949868E-02,3.6401343E+00,6.25003815E-01
-3.7949492E-02,3.6401343E+00,6.25003815E-01
-3.7949116E-02,3.6401343E+00,6.25003815E-01
-3.7948740E-02,3.6401343E+00,6.25003815E-01
-3.7948364E-02,3.6401343E+00,6.25003815E-01
-3.7947988E-02,3.6401343E+00,6.25003815E-01
-3.7947612E-02,3.6401343E+00,6.25003815E-01
-3.7947236E-02,3.6401343E+00,6.25003815E-01
-3.7946860E-02,3.6401343E+00,6.25003815E-01
-3.7946484E-02,3.6401343E+00,6.25003815E-01
-3.7946108E-02,3.6401343E+00,6.25003815E-01
-3.7945732E-02,3.6401343E+00,6.25003815E-01
-3.7945356E-02,3.6401343E+00,6.25003815E-01
-3.7944980E-02,3.6401343E+00,6.25003815E-01
-3.7944604E-02,3.6401343E+00,6.25003815E-01
-3.7944228E-02,3.6401343E+00,6.25003815E-01
-3.7943852E-02,3.6401343E+00,6.25003815E-01
-3.7943476E-02,3.6401343E+00,6.25003815E-01
-3.7943100E-02,3.6401343E+00,6.25003815E-01
-3.7942724E-02,3.6401343E+00,6.25003815E-01
-3.7942348E-02,3.6401343E+00,6.25003815E-01
-3.7941972E-02,3.6401343E+00,6.25003815E-01
-3.7941596E-02,3.6401343E+00,6.25003815E-01
-3.7941220E-02,3.6401343E+00,6.25003815E-01
-3.7940844E-02,3.6401343E+00,6.25003815E-01
-3.7940468E-02,3.6401343E+00,6.25003815E-01
-3.7940092E-02,3.6401343E+00,6.25003815E-01
-3.7939716E-02,3.6401343E+00,6.25003815E-01
-3.7939340E-02,3.6401343E+00,6.25003815E-01
-3.7938964E-02,3.6401343E+00,6.25003815E-01
-3.7938588E-02,3.6401343E+00,6.25003815E-01
-3.7938212E-02,3.6401343E+00,6.25003815E-01
-3.7937836E-02,3.6401343E+00,6.25003815E-01
-3.7937460E-02,3.6401343E+00,6.25003815E-01
-3.7937084E-02,3.6401343E+00,6.25003815E-01
-3.7936708E-02,3.6401343E+00,6.25003815E-01
-3.7936332E-02,3.6401343E+00,6.25003815E-01
-3.7935956E-02,3.6401343E+00,6.25003815E-01
-3.7935580E-02,3.6401343E+00,6.25003815E-01
-3.7935204E-02,3.6401343E+00,6.25003815E-01
-3.7934828E-02,3.6401343E+00,6.25003815E-01
-3.7934452E-02,3.6401343E+00,6.25003815E-01
-3.7934076E-02,3.6401343E+00,6.25003815E-01
-3.7933700E-02,3.6401343E+00,6.25003815E-01
-3.7933324E-02,3.6401343E+00,6.25003815E-01
-3.7932948E-02,3.6401343E+00,6.25003815E-01
-3.7932572E-02,3.6401343E+00,6.25003815E-01
-3.7932196E-02,3.6401343E+00,6.25003815E-01
-3.7931820E-02,3.6401343E+00,6.25003815E-01
-3.7931444E-02,3.6401343E+00,6.25003815E-01
-3.7931068E-02,3.6401343E+00,6.25003815E-01
-3.7930692E-02,3.6401343E+00,6.25003815E-01
-3.7930316E-02,3.6401343E+00,6.25003815E-01
-3.7929940E-02,3.6401343E+00,6.25003815E-01
-3.7929564E-02,3.6401343E+00,6.25003815E-01
-3.7929188E-02,3.6401343E+00,6.25003815E-01
-3.7928812E-02,3.6401343E+00,6.25003815E-01
-3.7928436E-02,3.6401343E+00,6.25003815E-01
-3.7928060E-02,3.6401343E+00,6.25003815E-01
-3.7927684E-02,3.6401343E+00,6.25003815E-01
-3.7927308E-02,3.6401343E+00,6.25003815E-01
-3.7926932E-02,3.6401343E+00,6.25003815E-01
-3.7926556E-02,3.6401343E+00,6.25003815E-01
-3.7926180E-02,3.6401343E+00,6.25003815E-01
-3.7925804E-02,3.6401343E+00,6.25003815E-01
-3.7925428E-02,3.6401343E+00,6.25003815E-01
-3.7925052E-02,3.6401343E+00,6.25003815E-01
-3.7924676E-02,3.6401343E+00,6.25003815E-01
-3.7924300E-02,3.6401343E+00,6.25003815E-01
-3.7923924E-02,3.6401343E+00,6.25003815E-01
-3.7923548E-02,3.6401343E+00,6.25003815E-01
-3.7923172E-02,3.6401343E+00,6.25003815E-01
-3.7922796E-02,3.6401343E+00,6.25003815E-01
-3.7922420E-02,3.6401343E+00,6.25003815E-01
-3.7922044E-02,3.6401343E+00,6.25003815E-01
-3.7921668E-02,3.6401343E+00,6.25003815E-01
-3.7921292E-02,3.6401343E+00,6.25003815E-01
-3.7920916E-02,3.6401343E+00,6.25003815E-01
-3.7920540E-02,3.6401343E+00,6.25003815E-01
-3.7920164E-02,3.6401343E+00,6.25003815E-01
-3.7919788E-02,3.6401343E+00,6.25003815E-01
-3.7919412E-02,3.6401343E+00,6.25003815E-01
-3.7919036E-02,3.6401343E+00,6.25003815E-01
-3.7918660E-02,3.6401343E+00,6.25003815E-01
-3.7918284E-02,3.6401343E+00,6.25003815E-01
-3.7917908E-02,3.6401343E+00,6.25003815E-01
-3.7917532E-02,3.6401343E+00,6.25003815E-01
-3.7917156E-02,3.6401343E+00,6.25003815E-01
-3.7916780E-02,3.6401343E+00,6.25003815E-01
-3.7916404E-02,3.6401343E+00,6.25003815E-01
-3.7916028E-02,3.6401343E+00,6.25003815E-01
-3.7915652E-02,3.6401343E+00,6.25003815E-01
-3.7915276E-02,3.6401343E+00,6.25003815E-01
-3.7914900E-02,3.6401343E+00,6.25003815E-01
-3.7914524E-02,3.6401343E+00,6.25003815E-01
-3.7914148E-02,3.6401343E+00,6.25003815E-01
-3.7913772E-02,3.6401343E+00,6.25003815E-01
-3.7913396E-02,3.6401343E+00,6.25003815E-01
-3.7913020E-02,3.6401343E+00,6.25003815E-01
-3.7912644E-02,3.6401343E+00,6.25003815E-01
-3.7912268E-02,3.6401343E+00,6.25003815E-01
-3.7911892E-02,3.6401343E+00,6.25003815E-01
-3.7911516E-02,3.6401343E+00,6.25003815E-01
-3.7911140E-02,3.6401343E+00,6.25003815E-01
-3.7910764E-02,3.6401343E+00,6.25003815E-01
-3.7910388E-02,3.6401343E+00,6.25003815E-01
-3.7910012E-02,3.6401343E+00,6.25003815E-01
-3.7909636E-02,3.6401343E+00,6.25003815E-01
-3.7909260E-02,3.6401343E+00,6.25003815E-01
-3.7908884E-02,3.6401343E+00,6.25003815E-01
-3.7908508E-02,3.6401343E+00,6.25003815E-01
-3.7908132E-02,3.6401343E+00,6.25003815E-01
-3.7907756E-02,3.6401343E+00,6.25003815E-01
-3.7907380E-02,3.6401343E+00,6.25003815E-01
-3.7907004E-02,3.6401343E+00,6.25003815E-01
-3.7906628E-02,3.6401343E+00,6.25003815E-01
-3.7906252E-02,3.6401343E+00,6.25003815E-01
-3.7905876E-02,3.6401343E+00,6.25003815E-01
-3.7905500E-02,3.6401343E+00,6.25003815E-01
-3.7905124E-02,3.6401343E+00,6.25003815E-01
-3.7904748E-02,3.6401343E+00,6.25003815E-01
-3.7904372E-02,3.6401343E+00,6.25003815E-01
-3.7903996E-02,3.6401343E+00,6.25003815E-01
-3.7903620E-02,3.6401343E+00,6.25003815E-01
-3.7903244E-02,3.6401343E+00,6.25003815E-01
-3.7902868E-02,3.6401343E+00,6.25003815E-01
-3.7902492E-02,3.6401343E+00,6.25003815E-01
-3.7902116E-02,3.6401343E+00,6.25003815E-01
-3.7901740E-02,3.6401343E+00,6.25003815E-01
-3.7901364E-02,3.6401343E+00,6.25003815E-01
-3.7900988E-02,3.6401343E+00,6.25003815E-01
-3.7900612E-02,3.6401343E+00,6.25003815E-01
-3.7900236E-02,3.6401343E+00,6.25003815E-01
-3.7899860E-02,3.6401343E+00,6.25003815E-01
-3.7899484E-02,3.6401343E+00,6.25003815E-01
-3.7899108E-02,3.6401343E+00,6.25003815E-01
-3.7898732E-02,3.6401343E+00,6.25003815E-01
-3.7898356E-02,3.6401343E+00,6.25003815E-01
-3.7897980E-02,3.6401343E+00,6.25003815E-01
-3.7897604E-02,3.6401343E+00,6.25003815E-01
-3.7897228E-02,3.6401343E+00,6.25003815E-01
-3.7896852E-02,3.6401343E+00,6.25003815E-01
-3.7896476E-02,3.6401343E+00,6.25003815E-01
-3.7896100E-02,3.6401343E+00,6.25003815E-01
-3.7895724E-02,3.6401343E+00,6.25003815E-01
-3.7895348E-02,3.6401343E+00,6.25003815E-01
-3.7894972E-02,3.6401343E+00,6.25003815E-01
-3.7894596E-02,3.6401343E+00,6.25003815E-01
-3.7894220E-02,3.6401343E+00,6.25003815E-01
-3.7893844E-02,3.6401343E+00,6.25003815E-01
-3.7893468E-02,3.6401343E+00,6.25003815E-01
-3.7893092E-02,3.6401343E+00,6.25003815E-01
-3.7892716E-02,3.6401343E+00,6.25003815E-01
-3.7892340E-02,3.6401343E+00,6.25003815E-01
-3.7891964E-02,3.6401343E+00,6.25003815E-01
